subject,target,ttype,mode,window,r
dmnelf014,CEN,orig,best,fb,-0.02950187985000843
dmnelf014,CEN,orig,frontal,fb,0.18788512118818246
dmnelf014,CEN,orig,all,fb,0.10488364322847088
dmnelf014,CEN,orig,epoc,fb,0.05431571539818551
dmnelf014,CEN,orig,epoc_afproxy,fb,0.16645726687425372
dmnelf014,DMN,orig,best,fb,0.23261825597960348
dmnelf014,DMN,orig,frontal,fb,0.30220967337412924
dmnelf014,DMN,orig,all,fb,0.28255173304604103
dmnelf014,DMN,orig,epoc,fb,0.3070496024923052
dmnelf014,DMN,orig,epoc_afproxy,fb,0.30972672568834575
dmnelf014,PDA,orig,best,fb,0.21450865901852262
dmnelf014,PDA,orig,frontal,fb,0.1959920924795752
dmnelf014,PDA,orig,all,fb,0.07858950893189229
dmnelf014,PDA,orig,epoc,fb,0.02980511412566549
dmnelf014,PDA,orig,epoc_afproxy,fb,0.04984144278059692
dmnelf014,CEN,clean,best,fb,0.07752921805567783
dmnelf014,CEN,clean,frontal,fb,0.12836129519000045
dmnelf014,CEN,clean,all,fb,0.1181445074011593
dmnelf014,CEN,clean,epoc,fb,0.135308108078659
dmnelf014,CEN,clean,epoc_afproxy,fb,0.16788505578708185
